University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Saint Mary's,179,54,NS,Halifax,Physics,Astronomy and Physics,PhD,5909,1713,7622,10955,2748,13703,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,1,2,0,0,23264,Halifax,26655.89,1909,22908,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Carleton,740,361,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,7842,2043.42,9885.42,25902,2799.42,28701.42,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,10 if on a Full Teaching Assistantship,yes,45335,45017,1,1.5,1,0,24408,"Ottawa, On",27966.69,2058,24696,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Carleton,740,361,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,7428,2043.42,9471.42,19590,2799.42,22389.42,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,10 if on a Full Teaching Assistantship,yes,45335,45017,1,1.5,1,0,24408,"Ottawa, On",27966.69,2058,24696,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Windsor,427,140,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,MSc,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45400,2023-2024,1,2,0,0,22170,"Windsor, Ont 233763 population large population",25402.39,1588,19056,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Windsor,427,140,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,PhD,7179.3,1531.45,8710.75,23685,2271.61,25956.61,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45400,2023-2024,1,2,0,0,22170,"Windsor, Ont 233763 population large population",25402.39,1588,19056,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
University of Winnipeg,172,86,MB,Winnipeg,Biological Sciences - Ecology,Biology,MSc,7385.52,1312.22,8697.74,15205.02,2746.22,17951.24,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45488,2024-2025,1,1.5,,0,22714,Winnipeg,26025.7,1232,14784,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
UNBC,132,72,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",MSc,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,45411,,1,1,,,22255,"Prince George BC 74,003 population Medium population Center",25499.78,Data Unavailabe,Data Unavailabe,,,,,,
UNBC,132,72,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",PhD,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,,,,,,,22255,"Prince George BC 74,003 population Medium population Center",25499.78,Data Unavailabe,Data Unavailabe,,,,,,
Dalhousie,825,681,NS,Halifax,Physics,Physics & Atmospheric Science,MSc,10651,2101.68,12752.68,18264.8,2857.42,21122.22,,No,2,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45394,,0,0,2,0,23264,"Halifax, NS",26655.89,1909,22908,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe
Dalhousie,825,681,NS,Halifax,Physics,Physics & Atmospheric Science,PhD,7053,2101.68,9154.68,7053,2857.42,9910.42,,No,4,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45394,,0,0,2,0,23264,"Halifax, NS",26655.89,1909,22908,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe
